A̱o natural/Mes,Venta,Vta Cto,Utilidad,Inv cto,Compras Cto,Vta pzas,Inv pzas,Compras Pzas
Jan 2021,687860.09,369062.89,318797.2,1235760.67,893771.25,117,405,276.0
Feb 2021,692375.17,376482.29,315892.88,1355384.55,498307.08,116,427,140.0
Mar 2021,723262.52,394331.05,328931.47,1242078.3,292950.8,123,389,89.0
Apr 2021,876936.9,486803.29,390133.61,1114531.24,374420.88,145,354,114.0
May 2021,770025.85,442788.01,327237.84,1235638.22,580862.32,127,396,175.0
Jun 2021,764184.79,422318.51,341866.28,1020725.12,214285.73,125,325,57.0
Jul 2021,615438.66,344193.7,271244.96,1004032.1,325749.98,100,325,99.0
Aug 2021,516979.05,296734.06,220244.99,733863.53,0.0,93,239,0.0
Sep 2021,303413.74,163522.77,139890.97,571398.45,0.0,52,187,0.0
Oct 2021,304904.29,176734.33,128169.96,602130.5,214600.4,48,155,18.0
Nov 2021,158740.84,90031.51,68709.33,520915.5,0.0,24,133,0.0
Dec 2021,176766.16,105909.94,70856.22,1144454.35,721926.1,25,275,165.0
Jan 2022,427705.46,246387.72,181317.74,884862.87,0.0,59,212,0.0
Feb 2022,249775.14,144767.29,105007.85,1235532.96,505902.96,38,211,37.0
Mar 2022,409376.27,239923.03,169453.24,2775948.3,1826552.03,57,615,467.0
Apr 2022,589310.39,349594.07,239716.32,2705487.11,244915.76,68,566,17.0
May 2022,612283.77,372975.5,239308.27,2666992.58,360736.79,83,568,90.0
Jun 2022,409441.26,253756.1,155685.16,2415409.56,0.0,61,507,0.0
Jul 2022,452105.96,272824.49,179281.47,2166400.24,0.0,64,448,0.0
Aug 2022,521343.25,321005.27,200337.98,1860421.84,0.0,67,383,0.0
Sep 2022,391310.58,240168.62,151141.96,1989955.32,390505.12,52,431,102.0
Oct 2022,403370.34,234886.3,168484.04,1816631.13,246722.74,56,404,64.0
Nov 2022,597323.11,382573.71,214749.4,1570174.26,127525.2,88,345,30.0
Dec 2022,625873.56,363820.05,262053.51,2241639.1,1036165.59,100,510,265.0
Jan 2023,674019.29,375412.47,298606.82,2152689.41,292349.46,97,479,67.0
Feb 2023,645433.29,362107.16,283326.13,3153624.5,1361310.14,85,774,380.0
Mar 2023,733056.89,398519.92,334536.97,3255323.41,512828.52,100,790,120.0
Apr 2023,856062.04,621175.12,234886.92,3315867.45,669797.07,113,833,153.0
May 2023,671018.7,373395.29,297623.41,2940038.43,0.0,90,742,0.0
Jun 2023,464326.25,259863.92,204462.33,3064871.62,385944.6,62,770,90.0
Jul 2023,500348.68,277242.41,223106.27,2957899.1,185346.78,72,731,37.0
Aug 2023,688991.89,385019.48,303972.41,2783484.71,205949.42,99,681,48.0
Sep 2023,760580.75,527071.54,233509.21,2757773.85,497222.14,127,663,108.0
Oct 2023,492393.41,312803.86,179589.55,2804960.08,379474.55,71,677,89.0
Nov 2023,898857.25,598889.76,299967.49,3463885.07,1270736.95,137,838,301.0
Dec 2023,937857.88,618435.31,319422.57,3543589.44,695262.76,155,849,166.0
